name,stars,age_in_years,releases,primary_language,url
Snailclimb/JavaGuide,148713,6.86,0,Java,https://github.com/Snailclimb/JavaGuide
krahets/hello-algo,110279,2.37,9,Java,https://github.com/krahets/hello-algo
iluwatar/java-design-patterns,90999,10.61,0,Java,https://github.com/iluwatar/java-design-patterns
macrozheng/mall,79491,6.96,3,Java,https://github.com/macrozheng/mall
doocs/advanced-java,77238,6.45,1,Java,https://github.com/doocs/advanced-java
spring-projects/spring-boot,76455,12.42,300,Java,https://github.com/spring-projects/spring-boot
MisterBooo/LeetCodeAnimation,75769,6.28,0,Java,https://github.com/MisterBooo/LeetCodeAnimation
elastic/elasticsearch,71997,15.11,174,Java,https://github.com/elastic/elasticsearch
kdn251/interviews,64016,8.09,0,Java,https://github.com/kdn251/interviews
TheAlgorithms/Java,61093,8.67,0,Java,https://github.com/TheAlgorithms/Java
spring-projects/spring-framework,57553,14.28,327,Java,https://github.com/spring-projects/spring-framework
NationalSecurityAgency/ghidra,55376,6.05,42,Java,https://github.com/NationalSecurityAgency/ghidra
Stirling-Tools/Stirling-PDF,54188,2.14,118,Java,https://github.com/Stirling-Tools/Stirling-PDF
google/guava,50585,10.81,48,Java,https://github.com/google/guava
ReactiveX/RxJava,48041,12.19,235,Java,https://github.com/ReactiveX/RxJava
skylot/jadx,43187,12.00,30,Java,https://github.com/skylot/jadx
dbeaver/dbeaver,42262,9.41,219,Java,https://github.com/dbeaver/dbeaver
jeecgboot/JeecgBoot,41866,6.31,54,Java,https://github.com/jeecgboot/JeecgBoot
apache/dubbo,40817,12.75,109,Java,https://github.com/apache/dubbo
termux/termux-app,39775,9.40,91,Java,https://github.com/termux/termux-app
PhilJay/MPAndroidChart,37863,10.90,44,Java,https://github.com/PhilJay/MPAndroidChart
eugenp/tutorials,37081,11.89,0,Java,https://github.com/eugenp/tutorials
alibaba/arthas,36055,6.55,59,Java,https://github.com/alibaba/arthas
geekxh/hello-algorithm,35511,4.80,0,Java,https://github.com/geekxh/hello-algorithm
airbnb/lottie-android,35238,8.45,56,Java,https://github.com/airbnb/lottie-android
halo-dev/halo,34978,6.99,210,Java,https://github.com/halo-dev/halo
