name,stars,age_in_years,releases,primary_language,url
Snailclimb/JavaGuide,148862,6.89,0,Java,https://github.com/Snailclimb/JavaGuide
krahets/hello-algo,110949,2.39,9,Java,https://github.com/krahets/hello-algo
iluwatar/java-design-patterns,91051,10.63,0,Java,https://github.com/iluwatar/java-design-patterns
macrozheng/mall,79621,6.98,3,Java,https://github.com/macrozheng/mall
doocs/advanced-java,77291,6.47,1,Java,https://github.com/doocs/advanced-java
spring-projects/spring-boot,76548,12.44,303,Java,https://github.com/spring-projects/spring-boot
MisterBooo/LeetCodeAnimation,75780,6.30,0,Java,https://github.com/MisterBooo/LeetCodeAnimation
elastic/elasticsearch,72088,15.13,175,Java,https://github.com/elastic/elasticsearch
kdn251/interviews,64033,8.11,0,Java,https://github.com/kdn251/interviews
TheAlgorithms/Java,61151,8.69,0,Java,https://github.com/TheAlgorithms/Java
spring-projects/spring-framework,57622,14.30,328,Java,https://github.com/spring-projects/spring-framework
NationalSecurityAgency/ghidra,55630,6.07,42,Java,https://github.com/NationalSecurityAgency/ghidra
Stirling-Tools/Stirling-PDF,54789,2.16,119,Java,https://github.com/Stirling-Tools/Stirling-PDF
google/guava,50606,10.83,53,Java,https://github.com/google/guava
ReactiveX/RxJava,48052,12.21,235,Java,https://github.com/ReactiveX/RxJava
skylot/jadx,43272,12.02,30,Java,https://github.com/skylot/jadx
dbeaver/dbeaver,42377,9.43,220,Java,https://github.com/dbeaver/dbeaver
jeecgboot/JeecgBoot,41987,6.33,54,Java,https://github.com/jeecgboot/JeecgBoot
apache/dubbo,40841,12.77,109,Java,https://github.com/apache/dubbo
termux/termux-app,39987,9.43,91,Java,https://github.com/termux/termux-app
PhilJay/MPAndroidChart,37876,10.92,44,Java,https://github.com/PhilJay/MPAndroidChart
eugenp/tutorials,37102,11.91,0,Java,https://github.com/eugenp/tutorials
alibaba/arthas,36088,6.57,59,Java,https://github.com/alibaba/arthas
geekxh/hello-algorithm,35531,4.82,0,Java,https://github.com/geekxh/hello-algorithm
airbnb/lottie-android,35254,8.47,57,Java,https://github.com/airbnb/lottie-android
halo-dev/halo,35048,7.01,211,Java,https://github.com/halo-dev/halo
bumptech/glide,34822,11.72,47,Java,https://github.com/bumptech/glide
netty/netty,33912,14.38,0,Java,https://github.com/netty/netty
xkcoding/spring-boot-demo,33517,7.37,0,Java,https://github.com/xkcoding/spring-boot-demo
Blankj/AndroidUtilCode,33506,8.65,117,Java,https://github.com/Blankj/AndroidUtilCode
doocs/leetcode,33383,6.52,21,Java,https://github.com/doocs/leetcode
TeamNewPipe/NewPipe,33296,9.56,135,Java,https://github.com/TeamNewPipe/NewPipe
alibaba/easyexcel,33235,7.13,14,Java,https://github.com/alibaba/easyexcel
zxing/zxing,33173,13.46,31,Java,https://github.com/zxing/zxing
SeleniumHQ/selenium,31935,12.20,103,Java,https://github.com/SeleniumHQ/selenium
alibaba/nacos,31026,6.78,79,Java,https://github.com/alibaba/nacos
binarywang/WxJava,30775,9.22,30,Java,https://github.com/binarywang/WxJava
ityouknow/spring-boot-examples,30407,8.39,0,Java,https://github.com/ityouknow/spring-boot-examples
YunaiV/ruoyi-vue-pro,29912,4.17,34,Java,https://github.com/YunaiV/ruoyi-vue-pro
apache/kafka,29732,13.62,0,Java,https://github.com/apache/kafka
chinabugotech/hutool,29652,10.95,149,Java,https://github.com/chinabugotech/hutool
apolloconfig/apollo,29387,9.06,41,Java,https://github.com/apolloconfig/apollo
alibaba/canal,28916,12.20,32,Java,https://github.com/alibaba/canal
wuyouzhuguli/SpringAll,28683,6.90,0,Java,https://github.com/wuyouzhuguli/SpringAll
xuxueli/xxl-job,28487,9.33,36,Java,https://github.com/xuxueli/xxl-job
alibaba/spring-cloud-alibaba,28322,7.31,47,Java,https://github.com/alibaba/spring-cloud-alibaba
alibaba/druid,28091,13.40,51,Java,https://github.com/alibaba/druid
lenve/vhr,27670,7.22,0,Java,https://github.com/lenve/vhr
crossoverJie/JCSprout,27111,7.27,0,Java,https://github.com/crossoverJie/JCSprout
qiurunze123/miaosha,26284,6.53,0,Java,https://github.com/qiurunze123/miaosha
