name,stars,age_in_years,releases,primary_language,url
Snailclimb/JavaGuide,148874,6.89,0,Java,https://github.com/Snailclimb/JavaGuide
krahets/hello-algo,110995,2.39,9,Java,https://github.com/krahets/hello-algo
iluwatar/java-design-patterns,91083,10.63,0,Java,https://github.com/iluwatar/java-design-patterns
macrozheng/mall,79643,6.98,3,Java,https://github.com/macrozheng/mall
doocs/advanced-java,77299,6.47,1,Java,https://github.com/doocs/advanced-java
spring-projects/spring-boot,76569,12.44,303,Java,https://github.com/spring-projects/spring-boot
MisterBooo/LeetCodeAnimation,75777,6.31,0,Java,https://github.com/MisterBooo/LeetCodeAnimation
elastic/elasticsearch,72111,15.14,177,Java,https://github.com/elastic/elasticsearch
kdn251/interviews,64034,8.11,0,Java,https://github.com/kdn251/interviews
TheAlgorithms/Java,61160,8.70,0,Java,https://github.com/TheAlgorithms/Java
spring-projects/spring-framework,57632,14.31,328,Java,https://github.com/spring-projects/spring-framework
NationalSecurityAgency/ghidra,55683,6.07,42,Java,https://github.com/NationalSecurityAgency/ghidra
Stirling-Tools/Stirling-PDF,54873,2.16,120,Java,https://github.com/Stirling-Tools/Stirling-PDF
google/guava,50611,10.83,54,Java,https://github.com/google/guava
ReactiveX/RxJava,48054,12.22,235,Java,https://github.com/ReactiveX/RxJava
skylot/jadx,43294,12.03,30,Java,https://github.com/skylot/jadx
dbeaver/dbeaver,42392,9.43,220,Java,https://github.com/dbeaver/dbeaver
jeecgboot/JeecgBoot,42002,6.33,54,Java,https://github.com/jeecgboot/JeecgBoot
apache/dubbo,40849,12.77,109,Java,https://github.com/apache/dubbo
termux/termux-app,40015,9.43,91,Java,https://github.com/termux/termux-app
PhilJay/MPAndroidChart,37877,10.92,44,Java,https://github.com/PhilJay/MPAndroidChart
eugenp/tutorials,37102,11.91,0,Java,https://github.com/eugenp/tutorials
alibaba/arthas,36091,6.58,59,Java,https://github.com/alibaba/arthas
geekxh/hello-algorithm,35535,4.83,0,Java,https://github.com/geekxh/hello-algorithm
airbnb/lottie-android,35255,8.47,57,Java,https://github.com/airbnb/lottie-android
halo-dev/halo,35062,7.02,211,Java,https://github.com/halo-dev/halo
bumptech/glide,34825,11.72,47,Java,https://github.com/bumptech/glide
netty/netty,33914,14.39,0,Java,https://github.com/netty/netty
xkcoding/spring-boot-demo,33521,7.38,0,Java,https://github.com/xkcoding/spring-boot-demo
Blankj/AndroidUtilCode,33508,8.66,117,Java,https://github.com/Blankj/AndroidUtilCode
doocs/leetcode,33395,6.53,21,Java,https://github.com/doocs/leetcode
TeamNewPipe/NewPipe,33301,9.56,135,Java,https://github.com/TeamNewPipe/NewPipe
alibaba/easyexcel,33239,7.14,14,Java,https://github.com/alibaba/easyexcel
zxing/zxing,33182,13.46,31,Java,https://github.com/zxing/zxing
SeleniumHQ/selenium,31946,12.20,103,Java,https://github.com/SeleniumHQ/selenium
alibaba/nacos,31033,6.78,79,Java,https://github.com/alibaba/nacos
binarywang/WxJava,30782,9.22,30,Java,https://github.com/binarywang/WxJava
ityouknow/spring-boot-examples,30409,8.39,0,Java,https://github.com/ityouknow/spring-boot-examples
YunaiV/ruoyi-vue-pro,29932,4.17,34,Java,https://github.com/YunaiV/ruoyi-vue-pro
apache/kafka,29743,13.62,0,Java,https://github.com/apache/kafka
chinabugotech/hutool,29656,10.96,149,Java,https://github.com/chinabugotech/hutool
